year,month,age,male,female
2015,12,13,1222,1294
2015,12,14,1361,1288
2015,12,15,1308,1324
2015,12,16,1372,1259
2015,12,17,1409,1389
2015,12,18,1302,1240
2015,12,19,1303,1364
2015,12,20,1355,1243
2015,12,21,1404,1222
2015,12,22,1316,1180
2015,12,23,1354,1150
2015,12,24,1359,1115
2015,12,25,1272,1151
2015,12,26,1310,1221
2015,12,27,1300,1232
2015,12,28,1325,1311
2015,12,29,1486,1324
2015,12,30,1543,1388
2015,12,31,1550,1442
2015,12,32,1552,1466
2015,12,33,1574,1510
2015,12,34,1660,1477
2015,12,35,1749,1673
2015,12,36,1769,1657
2015,12,37,1781,1647
2015,12,38,1883,1779
2015,12,39,1953,1811
2015,12,40,1982,1924
2015,12,41,2103,1888
2015,12,42,2057,2030
2015,12,43,1999,1862
2015,12,44,2056,1901
2015,12,45,1868,1763
2015,12,46,1774,1742
2015,12,47,1849,1726
2015,12,48,1915,1913
2015,12,49,1382,1339
2015,12,50,1786,1754
2015,12,51,1682,1665
2015,12,52,1683,1569
2015,12,53,1619,1583
2015,12,54,1547,1617
2015,12,55,1746,1755
2015,12,56,1753,1677
2015,12,57,1737,1735
2015,12,58,1705,1662
2015,12,59,1813,1798
2015,12,60,1851,1920
2015,12,61,1926,1941
2015,12,62,1915,2025
2015,12,63,2125,2143
2015,12,64,2197,2264
2015,12,65,2275,2367
2015,12,66,2485,2556
2015,12,67,2450,2386
2015,12,68,2331,2327
2015,12,69,1367,1413
2015,12,70,1242,1338
2015,12,71,1557,1785
2015,12,72,1592,1787
2015,12,73,1565,1877
2015,12,74,1455,1702
2015,12,75,1479,1628
2015,12,76,1227,1400
2015,12,77,1228,1575
2015,12,78,1314,1732
2015,12,79,1197,1664
2015,12,80,1157,1671
2015,12,81,1021,1428
2015,12,82,942,1537
2015,12,83,962,1496
2015,12,84,847,1442
2015,12,85,788,1329
2015,12,86,664,1232
2015,12,87,656,1211
2015,12,88,545,1027
2015,12,89,483,984
2015,12,90,374,885
2015,12,91,225,688
2015,12,92,175,579
2015,12,93,122,455
2015,12,94,121,437
2015,12,95,81,333
2015,12,96,51,215
2015,12,97,37,164
2015,12,98,24,112
2015,12,99,15,78
2015,12,100,6,49
2015,12,101,6,30
2015,12,102,5,22
2015,12,103,2,15
2015,12,104,1,5
2015,12,105,3,12
2016,1,0,987,964
2016,1,1,1080,1025
2016,1,2,1130,1029
2016,1,3,1113,1066
2016,1,4,1167,1098
2016,1,5,1180,1079
2016,1,6,1166,1119
2016,1,7,1264,1163
2016,1,8,1214,1157
2016,1,9,1225,1211
2016,1,10,1109,1166
2016,1,11,1268,1176
2016,1,12,1238,1203
2016,1,13,1214,1284
2016,1,14,1367,1280
2016,1,15,1272,1328
2016,1,16,1386,1256
2016,1,17,1407,1376
2016,1,18,1321,1276
2016,1,19,1319,1345
2016,1,20,1319,1256
2016,1,21,1399,1232
2016,1,22,1348,1176
2016,1,23,1318,1143
2016,1,24,1394,1126
2016,1,25,1251,1132
2016,1,26,1325,1238
2016,1,27,1298,1217
2016,1,28,1316,1310
2016,1,29,1450,1298
2016,1,30,1533,1390
2016,1,31,1546,1432
2016,1,32,1576,1470
2016,1,33,1568,1492
2016,1,34,1638,1496
2016,1,35,1734,1645
2016,1,36,1781,1687
2016,1,37,1797,1633
2016,1,38,1897,1761
2016,1,39,1924,1824
2016,1,40,1961,1913
2016,1,41,2106,1888
2016,1,42,2080,2039
2016,1,43,1987,1881
2016,1,44,2041,1902
2016,1,45,1894,1774
2016,1,46,1772,1718
2016,1,47,1851,1722
2016,1,48,1915,1921
2016,1,49,1415,1348
2016,1,50,1731,1741
2016,1,51,1704,1692
2016,1,52,1702,1598
2016,1,53,1612,1558
2016,1,54,1564,1597
2016,1,55,1748,1770
2016,1,56,1718,1694
2016,1,57,1773,1727
2016,1,58,1691,1649
2016,1,59,1831,1784
2016,1,60,1805,1916
2016,1,61,1918,1963
2016,1,62,1924,2020
2016,1,63,2108,2112
2016,1,64,2176,2260
2016,1,65,2261,2353
2016,1,66,2516,2582
2016,1,67,2436,2357
2016,1,68,2357,2395
2016,1,69,1447,1449
2016,1,70,1224,1321
2016,1,71,1531,1745
